State,State_Code,Marathon Name,City,Finishers,Course Type,Elevation Gain (ft),Elevation Loss (ft),Date,Avg Temperature,PR Score,Course Score
Washington,WA,Snohomish River Run Marathon,Snohomish,175,Rolling Hills,324,327,10/11/2026,50,99.37,99.37
Washington,WA,Windermere Marathon,Spokane,172,Mostly Flat,456,712,05/17/2026,56,99.63,99.63
Washington,WA,Appletree Marathon,Vancouver,167,Mostly Flat,352,352,08/30/2026,64,98.37,99.27
Washington,WA,Run the River Marathon,Kennewick,161,Mostly Flat,337,337,04/18/2026,52,99.11,99.27
Wisconsin,WI,Madison Marathon,Madison,1911,Rolling Hills,851,833,11/15/2026,40,98.07,98.07
Wisconsin,WI,Lakefront Marathon,Milwaukee,1592,Rolling Hills,752,759,10/04/2026,57,98.32,98.32
Wisconsin,WI,Milwaukee Marathon,Milwaukee,1092,Rolling Hills,500,452,04/10/2027,44,98.76,98.76
Wisconsin,WI,Eau Claire Marathon,Eau Claire,866,Rolling Hills,590,588,05/02/2027,56,98.71,98.71
Wisconsin,WI,Fox Cities Marathon,Appleton,543,Rolling Hills,420,455,09/20/2026,60,98.47,99.16
Wisconsin,WI,Epic Marathon,Green Bay,379,Rolling Hills,490,490,05/17/2026,57,98.82,98.98
Wisconsin,WI,Brew City Marathon,Milwaukee,339,Mostly Flat,337,337,04/18/2026,50,99.26,99.26
Wisconsin,WI,Wisconsin Marathon,Kenosha,292,Mostly Flat,432,432,04/25/2026,50,99.14,99.14
Wisconsin,WI,Maritime Marathon,Manitowoc,231,Mostly Flat,0,0,06/07/2026,64,97.76,99.35
Wisconsin,WI,La Crosse Marathon,La Crosse,223,Downhill,290,433,05/02/2026,58,99.77,99.77
Wisconsin,WI,Wausau Marathon,Wausau,126,Mostly Flat,480,480,08/23/2026,66,97.09,98.92
West Virginia,WV,University of Charleston Marathon,Charleston,231,Mostly Flat,0,0,04/12/2026,56,0.00,0.00
Wyoming,WY,Jackson Hole Marathon,Jackson Hole,248,Rolling Hills,566,492,09/26/2026,47,90.99,90.99
Wyoming,WY,Casper Marathon,Casper,110,Mostly Flat,548,743,06/07/2026,60,93.77,93.77
